Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"86","","","Bryce Bonnin","RHP","18.8","6' 0""","187","R","R",,"Arkansas","40",,"Though his delviery has some relief risk, Bonnin throws hard (he's been up to 95) and flashes a potential plus slider so, even if he can't make it as a starter, he could pitch at the back of a bullpen.","",""
"87","","","Matt Whatley","C","21.5","5' 10""","190","R","R","Oral Roberts","","40",,"An excellent defender with high-end makeup, Whatley has a plus arm and quiet hands that steal strikes from umpires. He has an aggressive, pull-heavy swing but below average bat speed, so it's unlikely he does any sort of damage with the bat. He profiles as a glove-first backup.","a_dkqhQUrqo",""
"88","","","Trevor Stephan","RHP","21.6","6' 4""","210","R","R","Arkansas","","40",,"Stephan was up to 95 at regionals and has an average, sweeping breaking ball that plays up against righties because of his cross-bodied delivery. That delivery might cap his ceiling in relief.","hdrgIwlwXuE",""
"89","","","Zac Lowther","LHP","21.2","6' 2""","235","L","L","Xavier","","40",,"Lowther's combination of deception and an above average curveball could propel an otherwise modest repertoire into a role at the back of a rotation.","",""
"90","","","Jesse Berardi","SS","21.4","5' 10""","185","L","R","St. John's","","40",,"Berardi has a rock solid utility profile. He has foul line to foul line doubles power and just enough physical ability to stick at shortstop.","",""
"91","","","Jason Willow","OF","18.1","6' 2""","182","R","R",,"UCSB","40",,"Willow has great feel to hit and plenty of physical projection so he has a good chance to grow into enough power to profile in a corner outfield spot. He isn't likely to stay on the infield barring significant development.","3P65OOgHByA",""
"92","","","Michael Gigliotti","OF","21.3","6' 1""","176","L","L","Lipscomb","","40",,"Gigliotti runs well enough to stay in center field but his bat speed is below average which limits his offensive impact and, thusly, his role. He projects as a fourth outfielder, though his patience, if refined, might allow him to reach base enough to play every day.","",""
"93","","","Colton Hock","RHP","21.2","6' 4""","220","R","R","Stanford","","40",,"Hock had a prototypical build and delivery in high school but has become more relieverish at Stanford. He sits 93-96 with a plus curveball but there's little hope for stretching him out to start at this point. He could move quickly as a set-up type.","",""
"94","","","Joe Dunand","SS","21.7","6' 2""","205","R","R","North Carolina St","","40",,"Dunand has plus raw power and a chance to stay on the infield in some capacity, but not at shortstop. A move will necessitate more contact, but the power potential makes Dunand enticing.","qgmZPFsFqyw",""
"95","","","Jake Holmes","SS","18.9","6' 4""","195","R","R",,"Arizona State","40",,"Holmes is large for shortstop but is a plus runner with an above average arm and should stay there for a while. If anything is going to kick him over to third, it's a lack of flexibility and agility. He has above average raw pull power projection and, if he can get to some of it and stay at short, he could play every day.","IRTWnecqxDo",""
"96","","","Charlie Barnes","LHP","21.8","6' 1""","170","L","L","Clemson","","40",,"A strike-throwing lefty with plus changeup projection, Barnes projects to the back of a rotation.","N6FGASQ9qHY",""
"97","","","Brigham Hill","RHP","21.9","5' 11""","185","R","R","Texas A&M","","40",,"Hill lacks size and big velocity but his fastball flashes impact movement and his changeup comfortably projects to plus. He has a fringe breaking ball and enough control/command to start. He could max out as a backend starter, though the idea of his fastball ticking up in the bullpen is also intriguing.","",""
"98","","","Joey Morgan","C","20.8","6' 0""","205","R","R","Washington","","40",,"Though he isn't a great receiver, Morgan has an above average arm which could allow him to catch if he polishes up his hands. His swing has doubles loft.","tJ95Sz4GlvQ",""
"99","","","Caleb Sloan","RHP","18.9","6' 3""","215","R","R",,"TCU","40",,"Sloan has a srong frame, throws hard, and has shown some breaking ball feel. His fastball command is poor.","",""
"100","","","Connor Seabold","RHP","21.1","6' 2""","185","R","R","Cal State Fullerton","","40",,"Seabold has fringe stuff but throws lots of strikes and has flashed the kind of surgical command he'll need to get by with his secondaries in pro ball.","",""
