Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"142","","","Alexis Diaz","RHS","19","6' 3""","175","R","R",,"None","40",,"","",""
"143","","","Julian Infante","3B","19.1","6' 2""","205","R","R",,"Vanderbilt","40",,"","",""
"144","","","Zack Kone","3B","18.9","6' 3""","200","R","R",,"Duke","40",,"","",""
"145","","","Jio Orozco","RHS","18.2","6' 1""","215","R","R",,"Arizona","40",,"","",""
"146","","","Reggie Pruitt","CF","18.4","6' 1""","170","R","R",,"Vanderbilt","40",,"","",""
"147","","","Wesley Rodriguez","RHR","18.9","5' 11""","205","R","R",,"Pittsburgh","40",,"","",""
"148","","","Joe DeMers","RHS","18.9","6' 2""","220","R","R",,"Washington","40",,"","",""
"149","","","Colton Eastman","RHS","18.5","6' 3""","200","R","R",,"Fullerton","40",,"","",""
"150","","","Ryan Kellogg","LHS","21.7","6' 5""","225","R","L","Arizona State","","40",,"","HSf2Ona9wA0",""
"151","","","David Fletcher","SS","21.4","5' 10""","175","R","R","Loyola Marymount","","40",,"","SG0Kfp1UUZs",""
"152","","","Marquise Doherty","CF","18.9","6' 4""","205","R","R",,"Missouri","40",,"","",""
"153","","","Kevin Duchene","LHS","21.8","6' 2""","210","L","L","Illinois","","40",,"","bmHlBFvefeI",""
"154","","","Josh Sborz","RHR","21.8","6' 3""","225","R","R","Virginia","","40",,"","WP1CX5BFaOQ",""
"155","","","Blake Hickman","RHS","22","6' 5""","220","R","R","Iowa","","40",,"","AjQuHeKhsQY",""
"156","","","Justin Maese","RHS","19","6' 3""","185","R","R",,"Texas Tech","40",,"","aLDK5LLVMY8",""
"157","","","Daniel Reyes","LF","19.1","6' 1""","200","R","R",,"Florida","40",,"","",""
"158","","","Jared Padgett","LHS","18.9","6' 4""","200","L","L",,"Mississippi State","40",,"","",""
"159","","","Carl Wise","1B","20.4","6' 2""","220","R","R","Charleston","","40",,"","CMpWMLzpYro",""
"160","","","Thomas Szapucki","LHS","19.3","6' 2""","190","L","L",,"Florida","40",,"","aaIRseQiZNU",""
"161","","","Nick Madrigal","SS","18.6","5' 8""","155","R","R",,"Oregon State","40",,"","",""
"162","","","Jose Vizcaino","3B","21.5","6' 3""","200","R","R","Santa Clara","","40",,"","",""
"163","","","D.J. Wilson","CF","19","5' 8""","170","L","L",,"Vanderbilt","40",,"","",""
"164","","","Steven Duggar","CF","21.9","6' 2""","190","L","R","Clemson","","35+",,"","",""
"165","","","Tyler Williams","CF","18.7","6' 3""","220","R","R",,"Arizona State","35+",,"","",""
"166","","","Ian Gibaut","RHR","21.9","6' 3""","220","R","R","Tulane","","35+",,"","Kk2i8ApkIhA",""
"167","","","Isaiah White","CF","18.8","6' 0""","175","R","R",,"East Carolina","35+",,"","",""
"168","","","Doak Dozier","RF","19.3","6' 3""","180","L","R",,"Virginia","35+",,"","",""
"169","","","Taylor Clarke","RHS","22.4","6' 4""","190","R","R","Charleston","","35+",,"","NayZCnLhlwY",""
"170","","","Javier Medina","RHS","19.2","6' 2""","190","R","R",,"Arizona","35+",,"","uoNrJ6nXI2s",""
"171","","","Justin Garza","RHS","21.6","5' 11""","170","R","R","Fullerton","","35+",,"","yyS7mbf7ZPE",""
"172","","","Kyle Wilcox","RHS","21.3","6' 3""","180","R","R","Bryant","","35+",,"","zpMR9HiTzfc",""
"173","","","Jeff Hendrix","CF","22.2","5' 11""","180","L","R","Oregon State","","35+",,"","Wkm9xwKVIlg",""
"174","","","Chase Ingram","RHS","20.5","6' 4""","205","R","R","USA","","35+",,"","3s25aqxFOnY",""
"175","","","Braden Bishop","CF","22.1","6' 1""","185","R","R","Washington","","35+",,"","oiFKYlUonyQ",""
"176","","","Blake Perkins","CF","19.1","6' 0""","180","R","R",,"Arizona State","35+",,"","R4_RoFl1Sr4",""
"177","","","Elih Marrero","C","18.3","5' 8""","185","R","R",,"Mississippi State","35+",,"","",""
"178","","","Daniel Pinero","3B","21.4","6' 6""","200","R","R","Virignia","","35+",,"","",""
"179","","","Jared Foster","2B","22.9","6' 0""","185","R","R","LSU","","35+",,"","",""
"180","","","Nick Shumpert","SS","18.9","6' 0""","185","R","R",,"Kentucly","35+",,"","",""
"181","","","Nick Lee","RHS","18.7","6' 4""","195","R","R",,"Louisiana Lafayette","35+",,"","7wTISe-21Ag",""
"182","","","Kolton Mahoney","RHS","23.4","6' 0""","195","R","R","BYU","","35+",,"","",""
"183","","","Garrett Wolforth","C","18","6' 3""","200","B","R",,"Dallas Baptist","35+",,"","",""
"184","","","Drew Jackson","SS","22.2","6' 2""","175","R","R","Stanford","","35+",,"","",""
"185","","","Greg Pickett","LF","19","6' 4""","220","L","R",,"Mississippi State","35+",,"","",""
"186","","","Ben Johnson","CF","21.4","6' 0""","185","R","R","Texas","","35+",,"","ixO3u684rsI",""
"187","","","Dayton Dugas","LF","18.3","6' 2""","225","R","R",,"Wichita State","35+",,"","",""
"188","","","Chase Mullins","LHR","21.2","6' 9""","270","L","L","USA","","35+",,"","",""
"189","","","Seth McGarry","RHR","21.8","6' 1""","180","R","R","Florida Atlanic","","35+",,"","",""
"190","","","Karsen Lindell","RHS","19.4","6' 2""","200","R","R",,"Washington","35+",,"","",""
"191","","","Gray Fenter","RHS","19.7","6' 0""","190","R","R",,"Mississippi State","35+",,"","",""
"192","","","Sam Bordner","RHS","19","6' 6""","235","R","R",,"Louisville","35+",,"","",""
"193","","","Cal Raleigh","C","18.9","6' 3""","195","B","R",,"Clemson","35+",,"","R4exYUkeDdY",""
"194","","","Jack Wynkoop","LHS","21.9","6' 5""","210","L","L","South Carolina","","35+",,"","uEHr9SoJXro",""
"195","","","Tanner Dodson","RHS","18.4","6' 2""","170","R","R",,"California","35+",,"","",""
"196","","","Mariano Rivera","RHR","22","5' 11""","160","R","R","Iona","","35+",,"","39HS24bRnKY",""
"197","","","Matthew McGarry","RHS","18.5","6' 3""","190","R","R",,"Vanderbilt","35+",,"","",""
"198","","","Brendon Davis","3B","18.2","6' 4""","170","R","R",,"Fullerton","35+",,"","",""
"199","","","Skye Bolt","CF","21.7","6' 1""","170","B","R","North Carolina","","35+",,"","0mo9PtlTjvI",""
"200","","","Logan Crouse","RHR","18.9","6' 6""","210","R","R",,"Florida State","35+",,"","",""
"201","","","Jacob Cronenworth","RHR","21.7","6' 1""","170","R","R","Michigan","","35+",,"","gLdmNMTP1R4",""
"202","","","Luke Lowery","1B","21.8","6' 2""","240","R","R","East Carolina","","35+",,"","",""
"203","","","Kolton Kendrick","1B","19.2","6' 3""","205","L","R",,"Louisiana Lafayette","35+",,"","f7T0JHgYkxY",""
"204","","","Garrett Cleavinger","LHR","21.5","6' 2""","220","L","L","Oregon","","35+",,"","Kp2EmB6_NrQ",""
"205","","","A.J. Minter","LHR","22.1","5' 11""","210","L","L","Texas A&M","","35+",,"","nQNiOfc-2Ow",""
