Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"62",,"102/LAD","Ryan Pepiot","RHP","21.7972222","6' 3""","215","R","R","Butler",,"40",,,,
"63",,"134/OAK","Kyle McCann","1B","21.5166666","6' 2""","217","L","R","Georgia Tech",,"40",,,,
"64",,"74/ARI","Tommy Henry","LHP","21.8583333","6' 3""","205","L","L","Michigan",,"40",,,"yyP4LGvLFCU",
"65",,"224/OAK","Drew Millas","C","21.3972222","6' 2""","205","S","R","Missouri State",,"40",,,,
"66",,"37/PIT","Sammy Siani","CF","18.4833333","5' 11""","175","L","L","William Penn Charter HS PA","Duke","40+",,,,
"67",,"149/MIN","Will Holland","2B","21.1388888","5' 10""","175","R","R","Auburn",,"40",,,,
"68",,"108/HOU","Jordan Brewer","CF","21.8527777","6' 1""","195","R","L","Michigan",,"40",,,,
"69",,"56/ARI","Ryne Nelson","RHP","21.3527777","6' 3""","175","R","R","Oregon",,"40",,,,
"70",,"128/TBR","Graeme Stinson","LHP","21.8388888","6' 5""","245","L","L","Duke",,"40",,,,
"71",,"192/CHC","Ethan Hearn","C","18.7722222","5' 11""","200","L","R","Mobile Christian HS AL","Mississippi State","40",,,,
"72",,"168/BAL","Maverick Handley","C","21.2444444","5' 11""","205","R","R","Stanford",,"40",,,,
"73",,"932/ARI","Jerrion Ealy","CF","18.8027777","5' 10""","192","R","R","Jackson Prep HS MS","Ole Miss","40",,,,
"74",,"91/PHI","Jamari Baylor","SS","18.8416666","5' 11""","193","R","R","Benedictine HS VA","Louisburg JC (NC)","40",,,,
"75",,"116//SFG","Tyler Fitzgerald","SS","21.7305555","6' 3""","185","R","R","Louisville",,"40",,,,
"76",,"120/PHI","Erik Miller","LHP","21.3194444","6' 5""","220","L","L","Stanford",,"40",,,"h2OKxijUEkg",
"77",,"1053/WSH","Bryce Osmond","RHP","18.7583333","6' 3""","175","R","R","Jenks HS OK","Oklahoma State","40",,,,
"78",,"38/NYY","T.J. Sikkema","LHP","20.8694444","6' 0""","221","L","L","Missouri",,"40",,,,
"79",,"78/LAD","Jimmy Lewis","RHP","18.6","6' 6""","200","R","R","Lake Travis HS TX","LSU","40",,,,
"80",,"92/LAA","Jack Kochanowicz","RHP","18.4611111","6' 6""","207","R","R","Harriton HS PA","Virginia","40",,,,
"81",,"232/DET","Jack Kenley","2B","21.6666666","6' 0""","185","L","R","Arkansas",,"40",,,,
"82",,"41/TEX","Davis Wendzel","3B","22.0416666","6' 0""","205","R","R","Baylor",,"40",,,,
"83",,"52/TOR","Kendall Williams","RHP","18.7888888","6' 6""","190","R","R","IMG Academy HS FL","Vanderbilt","40",,,,
"84",,"336/SEA","Carter Bins","C","21.075","6' 0""","200","R","R","Fresno State",,"40",,,,
"85",,"63/CLE","Yordys Valdes","SS","17.8111111","5' 10""","170","S","R","McArthur HS FL","Florida State","40",,,,
"86",,"45/CHW","Matthew Thompson","RHP","18.825","6' 3""","184","R","R","Cypress Ranch HS TX","Texas A&M","40",,,,
"87",,"163/MIL","Thomas Dillard","1B","21.7777777","6' 0""","230","S","R","Ole Miss",,"40",,,,
"88",,"539/MIN","Edouard Julien","LF","20.1055555","6' 1""","195","L","R","Auburn",,"40",,,,
"89",,"49/CIN","Rece Hinds","RF","18.7583333","6' 4""","220","R","R","IMG Academy HS FL","LSU","40",,,,
"90",,"84/SDP","Hudson Head","CF","18.1666666","6' 1""","175","L","L","Churchill HS TX","Oklahoma","40",,,,
"91",,"88/TOR","Dasan Brown","CF","17.7027777","5' 11""","170","R","R","Abbey Park HS CAN","Texas A&M","40",,,,
"92",,"1115/STL","Chris Newell","RF","18.125","6' 2""","190","L","L","Malvern Prep HS PA","Virginia","40",,,,
"93",,"76/SEA","Isaiah Campbell","RHP","21.8138888","6' 4""","225","R","R","Arkansas",,"40",,,,
"94",,"141/MIA","Evan Fitterer","RHP","18.95","6' 3""","195","R","R","Aliso Niguel HS CA","UCLA","40",,,,
"95",,"176/SFG","Dilan Rosario","SS","17.9777777","6' 2""","170","R","R","Leadership Christian HS PR","USC","40",,,,
"96",,"72/PIT","Jared Triolo","3B","21.3333333","6' 3""","212","R","R","Houston",,"40",,,,
"97",,"956/SFG","Dylan Brewer","CF","18.7166666","6' 3""","175","L","L","Latta HS SC","Clemson","40",,,,
"98",,"130/CLE","Christian Cairo","2B","17.9916666","5' 9""","175","R","R","Calvary Christian HS FL","LSU","40",,,,
"99",,"123/WSH","Matt Cronin","LHP","21.7166666","6' 2""","197","L","L","Arkansas",,"40",,,,
"100",,"147/TOR","Tanner Morris","LF","21.7527777","6' 2""","190","L","R","Virginia",,"40",,,,
"101",,"81/CHW","Andrew Dalquist","RHP","18.5694444","6' 2""","170","R","R","Redondo Union HS CA","Arizona","40",,,,
"102",,"66/OAK","Tyler Baum","RHP","21.4","6' 0""","180","R","R","North Carolina",,"40",,,,
"103",,"80/KCR","Grant Gambrell","RHP","21.5472222","6' 4""","225","L","R","Oregon State",,"40",,,,
"104",,,"Matt Dyer","C","20.9","6' 4""","175","R","R","Arizona",,"40",,,,
"105",,"58/STL","Tre Fletcher","CF","18.1055555","6' 2""","190","R","R","Deering HS ME","Vanderbilt","40",,,,
"106",,"337/ATL","Vaughn Grissom","3B","18.425","6' 3""","180","R","R","Hagerty HS FL","Florida International","40",,,,
"107",,"851/LAD","Brennan Milone","3B","18.0888888","6' 1""","180","R","R","Woodstock HS GA","South Carolina","40",,,,
"108",,"199/KCR","Noah Murdock","RHP","20.8","6' 8""","190","R","R","Virginia",,"40",,,,
"109",,"54/MIN","Matt Canterino","RHP","21.4833333","6' 2""","205","R","R","Rice",,"40",,,,
"110",,"65/MIL","Antoine Kelly","LHP","19.5083333","6' 5""","185","L","L","Wabash Valley JC IL","None","40",,,,
"111",,"61/TBR","John Doxakis","LHP","20.8","6' 4""","215","L","L","Texas A&M",,"40",,,,
"112",,"135/NYY","Jake Agnos","LHP","21.0416666","5' 11""","206","L","L","East Carolina",,"40",,,,
"113",,"70/KCR","Alec Marsh","RHP","21.0666666","6' 2""","220","R","R","Arizona State",,"40",,,,
"114",,,"Brett Thomas","RHP","18.7416666","6' 5""","220","R","R","Riverwood HS GA","South Carolina","40",,,,
"115",,"112/DET","Ryan Kreidler","3B","21.5722222","6' 2""","195","R","R","UCLA",,"40",,,,
"116",,"653/SDP","Josh Rivera","3B","18.6611111","6' 2""","205","R","R","IMG Academy HS FL","Florida","40",,,,
"117",,,"Matt McCormick","1B","18.7722222","6' 0""","195","L","R","St. Laurence HS IL","West Virgina","40",,,,
"118",,,"Trey Faltine","RHP/CF","18.4166666","6' 3""","185","R","R","William Travis HS TX","Texas","40",,,,
"119",,"152/ARI","Conor Grammes","RHP/3B","21.8861111","6' 1""","195","R","R","Xavier",,"40",,,,
"120",,"1119/COL","Hayden Dunhurst","C","18.7194444","5' 11""","208","S","R","Pearl River Central HS MS","Ole Miss","40",,,,
"121",,"133/MIL","Nick Kahle","C","21.2722222","5' 10""","210","R","R","Washington",,"40",,,,
"122",,"50/TEX","Ryan Garcia","RHP","21.3722222","6' 0""","180","R","R","UCLA",,"40",,,,
"123",,"97/SEA","Levi Stoudt","RHP","21.5111111","6' 1""","175","L","R","Lehigh",,"40",,,,
"124",,"205/TEX","Brandon Sproat","RHP","18.725","6' 2""","165","R","R","Pace HS FL","Florida","40",,,,
"125",,"229/KCR","Drew Parrish","LHP","21.5","5' 11""","200","L","L","Florida State",,"40",,,,
"126",,"808/NYM","Dalton Fowler","LHP","19.4194444","6' 5""","190","L","L","Northwest Mississippi JC MS","Ole Miss","40",,,,
"127",,"98/ATL","Michael Harris","LHP/RF","18.2527777","6' 0""","190","S","L","Stockbridge HS GA","Texas Tech","40",,,"2_32n4WPIJw",
"128",,,"Connor Walsh","SS","18.8305555","6' 2""","185","R","R","Niceville HS FL","Ole Miss","40",,,,
"129",,"755/STL","Alex McFarlane","RHP","17.9972222","6' 3""","170","R","R","Habersham Central HS GA","Miami","40",,,,
"130",,"151/LAA","Garrett Stallings","RHP","21.8333333","6' 2""","200","R","R","Tennessee",,"40",,,,
"131",,"1019/MIN","Antoine Harris","RHP","17.9305555","6' 4""","170","R","R","Chalmette HS LA","New Orleans","40",,,,
"132",,"166/HOU","Hunter Brown","RHP","20.775","6' 2""","203","R","R","Wayne State",,"40",,,,
"133",,"136/HOU","Colin Barber","CF","18.5111111","6' 1""","185","L","L","Pleasant Valley HS CA","Oregon","40",,,,
"134",,"160/CLE","Hunter Gaddis","RHP","21.1638888","6' 6""","212","R","R","Georgia State",,"40",,,,
"135",,"103/CHC","Michael McAvene","RHP","21.7888888","6' 3""","210","R","R","Louisville",,"40",,,,
"136",,"246/SEA","Ty Adcock","RHP","22.3361111","6' 0""","213","R","R","Elon",,"40",,,,
"137",,"180/PHI","Andrew Schultz","RHP","21.8555555","6' 4""","195","R","R","Tennessee",,"40",,,,
"138",,"59/SEA","Brandon Williamson","LHP","21.1833333","6' 6""","210","L","L","TCU",,"40",,,,
"HS-P-1",,"1047/TOR","Connor Phillips","RHP","18.0944444","6' 2""","185","R","R","Magnolia West HS TX","LSU","35+",,,,
"HS-P-2",,"347/BOS","Sebastian Keane","RHP","18.6","6' 3""","165","R","R","North Andover HS MA","Northeastern","35+",,,,
"HS-P-3",,"748/NYM","Joseph Charles","RHP","19.175","6' 3""","190","R","R","TNXL Academy HS FL","North Carolina","35+",,,,
"HS-P-4",,"915/NYY","Zachary Maxwell","RHP","18.3666666","6' 6""","245","R","R","North Paulding HS GA","Georgia Tech","35+",,,,
"HS-P-5",,"252/CHC","D.J. Herz","LHP","18.4277777","6' 2""","185","R","L","Sanford HS NC","North Carolina","35+",,,,
"HS-P-6",,,"Dave Falco","RHP","18.5194444","6' 4""","215","R","R","Center Moriches HS NY","Maryland","35+",,,,
"HS-P-7",,"969/COL","Tyler Nesbitt","RHP","17.9083333","6' 3""","185","R","R","Labelle HS FL","Florida","35+",,,,
"HS-P-8",,,"Will Bednar","RHP","18.9861111","6' 2""","215","R","R","Mars Area HS PA","Mississippi State","35+",,,,
"HS-P-9",,"282/CHC","Tyler Schlaffer","RHP","18.0388888","6' 1""","170","R","R","Homewood Flossmoor HS IL","Illinois-Chicago","35+",,,,
"HS-P-10",,"1050/PHI","Michael Prosecky","LHP","18.2722222","6' 4""","200","L","L","Nazareth Academy HS IL","Louisville","35+",,,,
"HS-P-11",,,"Andrew McDaniel","RHP","18.7833333","6' 2""","170","R","R","St. Thomas More HS LA","Ole Miss","35+",,,,
"HS-P-12",,"351/MIA","Christopher Mokma","RHP","18.325","6' 5""","195","R","R","Holland Christian HS MI","Michigan State","35+",,,,
"HS-P-13",,,"Colin Czajkowski","LHP","18.6916666","6' 4""","195","L","L","Woodhaven HS MI","Michigan","35+",,,,
"HS-P-14",,"413/SDP","Bodi Rascon","LHP","18.3472222","6' 5""","200","L","L","Decatur HS TX","Oklahoma State","35+",,,,
"HS-P-15",,"1136/SFG","William Rigney","RHP","18.8444444","6' 5""","205","R","R","Midway HS TX","Baylor","35+",,,,
"HS-P-16",,,"Chris Villaman","LHP","18.2277777","6' 2""","185","L","L","Ledford HS NC","North Carolina State","35+",,,,
"HS-P-17",,"326/SFG","Trevor McDonald","RHP","18.2833333","6' 2""","180","R","R","George County HS MS","South Alabama","35+",,,,
"HS-P-18",,"397/ATL","Tyler Owens","RHP","18.4138888","5' 9""","180","R","R","Trinity Catholic HS FL","Florida","35",,,,
"HS-P-19",,"121/LAA","Erik Rivera","LHP/RF","18.1833333","6' 2""","195","L","L","PR Baseball Academy HS PR","Florida International","35",,,,
"HS-P-20",,"1099/KCR","Reggie Crawford","LHP/1B","18.5111111","6' 4""","205","L","L","North Schuylkill HS PA","Connecticut","35",,,,
"HS-P-21",,,"Nate Stahl","RHP","18.7333333","6' 4""","195","R","R","Walsh Jesuit HS IN","Indiana","35",,,,
"HS-P-22",,"601/LAA","Jared Southard","RHP","18.6777777","6' 2""","210","R","R","Rouse HS TX","Texas","35",,,,
"HS-P-23",,,"Thomas Wilhite","RHP","18.3694444","6' 3""","200","R","R","West Ouachita HS LA","LSU","35",,,,
"HS-P-24",,,"Hayden Mullins","LHP","18.7333333","6' 0""","180","L","L","Hendersonville HS TN","Auburn","35",,,,
"HS-P-25",,"445/TEX","Randon Hostert","RHP","17.7388888","6' 5""","190","R","R","Bonneville HS IA","Utah","35",,,,
"HS-P-26",,"427/ATL","Jared Johnson","RHP","18.2305555","6' 3""","200","R","R","Smithville HS MS","Mississippi State","35",,,,
"HS-P-27",,"1202/ARI","Derek Diamond","RHP","18.4277777","6' 2""","185","R","R","Ramona HS CA","Ole Miss","35",,,,
"HS-P-28",,,"Jason Diaz","RHP","18.4333333","6' 2""","210","R","R","Kellenberg Memorial HS NY","Miami","35",,,,
"HS-P-29",,"362/ARI","Avery Short","LHP","18.2333333","5' 11""","205","R","L","Southport HS IN","Louisville","35",,,,
"HS-P-30",,,"Davis Rokose","LHP","18.0666666","6' 0""","180","L","L","Chattahoochee HS GA","Mississippi State","35",,,,
"HS-P-31",,"902/ARI","Will Childers","RHP","18.5666666","6' 4""","205","L","R","Lakeside HS GA","Georgia","35",,,,
"HS-P-32",,,"Ryan Sleeper","LHP","17.7722222","6' 4""","200","L","L","Lakeville North HS MN","North Carolina","35",,,,
"HS-P-33",,,"Bryce Hubbart","LHP","17.9444444","6' 0""","175","L","L","Windermere HS FL","Florida State","35",,,,
"HS-P-34",,"254/OAK","Jose Dicochea","RHP","18.2138888","6' 2""","170","R","R","Sahuarita HS AZ","Arizona","35",,,,
"HS-P-35",,,"Billy Seidl","RHP","19.5805555","6' 0""","187","R","R","St. Sebastian's HS MA","Duke","35",,,,
"HS-P-36",,,"Joe Biancone","RHP","18.1527777","6' 3""","180","R","R","John Jay Cross River HS NY","George Washington","35",,,,
"HS-P-37",,"1172/ARI","Evan Vanek","RHP","18.4805555","6' 3""","170","R","R","Heritage HS TX","Texas A&M","35",,,,
"HS-P-38",,"722/ARI","Dylan Eskew","RHP","18.3361111","6' 3""","185","R","R","Sickles HS FL","Miami","35",,,,
"HS-P-39",,,"Landon Sims","RHP","18.4305555","6' 1""","205","R","R","South Forsyth HS GA","Mississippi State","35",,,,
"HS-P-40",,"1079/MIN","Will Frisch","RHP","18.9","6' 1""","215","R","R","Stillwater HS MN","Oregon State","35",,,,
"HS-P-41",,"1049/MIN","Drew Gilbert","LHP","18.6972222","5' 10""","165","L","L","Stillwater HS MN","Oregon State","35",,,,
"HS-P-42",,,"Dawson Netz","RHP","18.8472222","6' 1""","185","R","R","Marantha HS CA","Arizona","35",,,,
"HS-P-43",,"782/ARI","Seth Tomczak","RHP","18.9222222","6' 4""","180","L","R","Argonaut HS CA","Arizona State","35",,,,
"HS-P-44",,,"Zachary Lee","RHP","18.5083333","6' 4""","180","L","R","Effingham HS IL","Kentucky","35",,,,
"HS-P-45",,"703/MIA","Carter Rustad","RHP","18.125","6' 5""","200","R","R","Staley HS MO","San Diego","35",,,,
"HS-P-46",,,"Nick Dean","RHP","18.45","6' 3""","175","R","R","Bensalem Township HS PA","Maryland","35",,,,
"HS-P-47",,,"Josh Hahn","LHP/1B","18.15","6' 2""","200","L","L","Huntington Beach HS CA","UCLA","35",,,,
"HS-P-48",,"186/SEA","Michael Limoncelli","RHP","19.0222222","6' 2""","180","S","R","Horseheads HS NY","Coastal Carolina","35",,,,
"HS-P-49",,"936/SEA","Jacob Meador","RHP","18.6166666","5' 11""","170","R","R","Centennial HS TX","TCU","35",,,,
"HS-P-50",,,"Riley Cornelio","RHP","19.0055555","6' 3""","185","R","R","Pine Creek HS CO","TCU","35",,,,
"HS-P-51",,,"Davis Heller","RHP","18.8722222","6' 8""","220","R","R","Mesquite HS AZ","Oklahoma","35",,,,
"HS-P-52",,"355/TEX","Gavin Collyer","RHP","18.0722222","6' 1""","165","R","R","Mountain View HS GA","Alabama","35",,,,
"HS-P-53",,,"Logan Tanner","RHP/C","18.5777777","6' 2""","195","R","R","George County HS MS","Mississippi State","35",,,,
"HS-P-54",,,"Mack Anglin","RHP","18.925","6' 5""","185","R","R","Highland HS OH","Clemson","35",,,,
"HS-P-55",,,"Stephen Restuccio","RHP","18.95","6' 2""","190","R","R","Hammonton HS NJ","Virginia Tech","35",,,,
"HS-P-56",,,"Andre Duplantier","RHP","18.875","6' 2""","195","R","R","Summer Creek HS TX","Texas","35",,,,
"HS-P-57",,"487/ATL","Joey Estes","RHP","17.6666666","6' 2""","180","R","R","Paraclete HS CA","Long Beach State","35",,,,
"HS-P-58",,,"Trace Bright","RHP","18.6166666","6' 4""","195","R","R","Trinity Presbyterian HS AL","Auburn","35",,,,
"HS-P-59",,"456/SEA","Anthony Tomczak","RHP","18.8083333","6' 2""","192","R","R","North Broward Prep HS FL","Stetson","35",,,,
"HS-P-60",,,"Blake Mayfield","RHP","18.6666666","6' 1""","170","R","R","Marcus HS TX","Texas A&M","35",,,,
"HS-P-61",,,"Mason Barnett","RHP","18.5861111","6' 1""","205","R","R","Cartersville HS GA","Auburn","35",,,,
"HS-P-62",,,"K.C. Hunt","RHP","18.9","6' 3""","177","L","R","Ramapo HS NJ","Mississippi State","35",,,,
"HS-P-63",,,"Nick Wallerstedt","RHP","18.6583333","6' 3""","185","R","R","Mountain Pointe HS AZ","Arizona State","35",,,,
"HS-P-64",,"1090/CLE","Ryan Ramsey","LHP","18.3888888","6' 0""","190","R","L","Pasack Hills HS NJ","Maryland","35",,,,
"HS-P-65",,,"Trevor Hinkel","RHP","18.4833333","6' 2""","195","S","R","Chaparral HS CA","Pepperdine","35",,,,
"HS-P-66",,,"Brandon Walker","RHP","18.7333333","6' 1""","195","R","R","North Florida Christian HS FL","Florida State","35",,,,
"HS-H-1",,"110/CHW","James Beard","CF","18.7055555","6' 0""","190","R","R","Lloyd Star HS MS","Meridian JC (MS)","35+",,,,
"HS-H-2",,,"Carter Young","SS","18.3722222","6' 0""","177","S","R","Selah HS WA","Vanderbilt","35+",,,,
"HS-H-3",,"1162/DET","Cade Doughty","SS","18.2","5' 11""","175","R","R","Denham Springs HS LA","LSU","35+",,,,
"HS-H-4",,"1014/CIN","Jason Hodges","LF","17.95","6' 3""","210","R","R","Marist HS IL","Arkansas","35+",,,,
"HS-H-5",,"733/MIL","Jose Torres","SS","19.6944444","6' 0""","165","R","R","Calvert Hall College HS MD","North Carolina State","35+",,,,
"HS-H-6",,"1175/STL","Tyler McKenzie","SS","18.7055555","6' 1""","160","R","R","Benjamin HS FL","Vanderbilt","35+",,,,
"HS-H-7",,"354/CIN","Yan Contreras","SS","18.3555555","6' 2""","180","R","R","PR Baseball Academy HS PR","San Jacinto JC (TX)","35+",,,,
"HS-H-8",,"613/MIL","Myles Austin","SS","18.3416666","6' 3""","177","R","R","Westlake HS GA","Alabama","35+",,,,
"HS-H-9",,"968/TBR","Kody Huff","C","18.4916666","5' 10""","185","R","R","Horizon HS AZ","Stanford","35+",,,,
"HS-H-10",,"48/SDP","Josh Mears","LF","18.3111111","6' 3""","235","R","R","Federal Way HS WA","Purdue","35+",,,,
"HS-H-11",,"115/TEX","Cody Freeman","SS","18.425","5' 10""","170","R","R","Etiwanda HS CA","Baylor","35+",,,,
"HS-H-12",,"939/COL","Michael Curialle","SS","17.9777777","6' 3""","198","R","R","JSerra Catholic HS CA","UCLA","35+",,,,
"HS-H-13",,,"Chandler Freeman","3B","18.7361111","6' 0""","190","R","R","Colleyville Heritage HS TX","Dallas Baptist","35+",,,,
"HS-H-14",,"122/ARI","Glenallen Hill, Jr.","2B","18.6888888","5' 9""","170","S","R","Santa Cruz HS CA","Arizona State","35+",,,,
"HS-H-15",,"747/TOR","Nathaniel LaRue","C/RHP","17.8638888","6' 3""","205","R","R","McGill-Toolen HS AL","Auburn","35+",,,,
"HS-H-16",,"910/CLE","Jonathan French","C","18.6444444","5' 11""","210","R","R","Parkview HS GA","Clemson","35+",,,,
"HS-H-17",,"1078/NYM","Tucker Flint","LF","18.175","6' 2""","202","L","L","Bishop Hendricken HS RI","Maryland","35",,,,
"HS-H-18",,"482/ARI","Brock Jones","LF","18.1944444","6' 1""","185","L","L","Buchanan HS CA","Stanford","35",,,,
"HS-H-19",,"138/BAL","Darell Hernaiz","SS","17.8472222","6' 1""","180","R","R","Americas HS TX","Texas Tech","35",,,,
"HS-H-20",,"87/SFG","Grant McCray","CF","18.5027777","6' 1""","175","L","R","Lakewood Ranch HS FL","Florida State","35",,,,
"HS-H-21",,"164/OAK","Jalen Greer","SS","17.8861111","6' 3""","185","R","R","St. Rita HS IL","Missouri","35",,,,
"HS-H-22",,"820/CLE","Landy Pena","SS","17.5888888","5' 9""","155","S","R","Leadership Christian Academy HS PR","None","35",,,,
"HS-H-23",,,"Cesar Valero","SS","17.5944444","6' 2""","185","R","R","Foothills Composite HS CAN","Oregon State","35",,,,
"HS-H-24",,"388/NYM","Blaine McIntosh","CF","17.9972222","6' 4""","175","L","L","Sycamore HS TN","Vanderbilt","35",,,,
"HS-H-25",,"1203/WSH","Jaden Brown","CF","17.6388888","6' 1""","186","R","R","St. Marcellinus HS CAN","Kentucky","35",,,,
"HS-H-26",,"694/PIT","Jasiah Dixon","RF","17.7722222","6' 0""","175","R","R","Orange Lutheran HS CA","USC","35",,,,
"HS-H-27",,,"Nathan Stevens","C","18.5222222","6' 0""","200","L","R","Waunakee HS WI","Arkansas","35",,,,
"HS-H-28",,"99/TBR","Shane Sasaki","CF","18.9361111","6' 0""","170","R","R","Iolani HS HI","Cal Poly","35",,,,
"HS-H-29",,,"John Rhys Plumlee","CF","18.4333333","6' 0""","185","R","R","Oak Grove HS MS","Georgia","35",,,,
"HS-H-30",,"945/NYY","Chad Knight","C","18.4777777","6' 0""","205","R","R","Staples HS CT","Duke","35",,,,
"HS-H-31",,,"Henry Gargus","1B","19.0027777","6' 1""","210","S","L","Davis HS WA","Stanford","35",,,,
"HS-H-32",,"334/PIT","Jase Bowen","CF","18.7666666","6' 1""","190","R","R","Toledo Central Catholic HS OH","Michigan State","35",,,,
"HS-H-33",,"104/OAK","Marcus Smith","CF","18.7416666","5' 10""","195","L","L","Pembroke Hill HS KS","Michigan","35",,,,
"HS-H-34",,,"Ethan Vecrumba","CF","18.8111111","6' 4""","200","L","R","Edgewood HS IN","Indiana","35",,,,
"HS-H-35",,"1188/BAL","Bobby Zmarzlak","RF","18.5444444","6' 5""","205","R","R","Westhill HS CT","Maryland","35",,,,
"HS-H-36",,"437/BOS","Jordan Beck","LF","18.1361111","6' 4""","205","R","R","Hazel Green HS AL","Tennessee","35",,,,
"HS-H-37",,"561/MIA","Nate Rombach","C","18.5333333","6' 3""","210","R","R","Legacy HS TX","Texas Tech","35",,,,
"HS-H-38",,,"Austin Plante","1B","18.3361111","6' 4""","215","L","L","Lake Travis HS TX","TCU","35",,,,
"HS-H-39",,"101/CLE","Joe Naranjo","1B","18.075","6' 0""","180","L","L","Ayala HS CA","Fullerton","35",,,,
"HS-H-40",,,"Hylan Hall","RF","18.3861111","6' 2""","190","R","R","TNXL Academy HS FL","Miami","35",,,,
"HS-H-41",,"443/SDP","Andre Tarver","RF","18.9361111","6' 2""","210","L","L","Ringgold HS GA","Mississippi State","35",,,,
"HS-H-42",,,"Emanuel Dean","RF","18.9833333","6' 3""","210","R","R","Servite HS CA","UCLA","35",,,,
"HS-H-43",,"790/CLE","Armani Sanchez","SS","18.3305555","6' 2""","170","R","R","Reagan HS TX","Oklahoma","35",,,,
"HS-H-44",,"1149/COL","Darius Perry","C","18.0972222","6' 2""","210","R","R","La Mirada HS CA","UCLA","35",,,,
"HS-H-45",,,"Isaac Nunez","3B","19.2305555","6' 0""","190","R","R","Lake Brantley HS FL","Florida","35",,,,
"HS-H-46",,,"Hayden Travinski","C","18.6416666","6' 3""","235","R","R","Airline HS LA","LSU","35",,,,
"HS-H-47",,"1182/CHC","Mason Auer","CF/RHP","18.2694444","6' 1""","185","R","R","Kickapoo HS MO","Missouri State","35",,,,
"HS-H-48",,"908/TBR","Michael Carpentier","C","19.0861111","6' 0""","195","L","R","Yucaipa HS CA","Arizona State","35",,,,
"HS-H-49",,"1212/CHC","Mac Bingham","CF","18.9361111","5' 11""","190","R","R","Torrey Pines HS CA","USC","35",,,,
"HS-H-50",,,"Michael Dixon","CF","18.1444444","6' 0""","190","R","R","Berkeley HS CA","San Diego","35",,,,
"HS-H-51",,,"Nathan Hickey","C","19.5416666","6' 0""","205","L","R","Providence HS FL","Florida","35",,,,
"HS-H-52",,,"Steele Chambers","RF","18.8722222","6' 2""","225","R","R","Blessed Trinity HS GA","Ohio State","35",,,,
"COL-P-1",,"153/WSH","Tyler Dyson","RHP","21.4555555","6' 3""","225","R","R","Florida",,"35+",,,,
"COL-P-2",,"323/SDP","Mason Feole","LHP","20.7777777","6' 1""","194","L","L","Connecticut",,"35+",,,,
"COL-P-3",,"107/BOS","Ryan Zeferjahn","RHP","21.2722222","6' 4""","216","R","R","Kansas",,"35+",,,,
"COL-P-4",,,"Jakob Brustoski","LHP","20.2166666","6' 2""","237","R","L","Sinclair JC OH","Texas Tech","35+",,,,
"COL-P-5",,"182/ARI","Andrew Saalfrank","LHP","21.8055555","6' 3""","205","L","L","Indiana",,"35+",,,,
"COL-P-6",,"77/COL","Karl Kauffmann","RHP","21.8138888","6' 2""","200","R","R","Michigan",,"35+",,,,
"COL-P-7",,"96/STl","Tony Locey","RHP","20.8583333","6' 3""","240","R","R","Georgia",,"35+",,,,
"COL-P-8",,"162/CHC","Josh Burgmann","RHP","21.3638888","6' 0""","205","R","R","Washington",,"35+",,,,
"COL-P-9",,"278/TBR","Evan McKendry","RHP","21.3388888","6' 3""","210","R","R","Miami",,"35+",,,,
"COL-P-10",,"188/TBR","Colby White","RHP","20.9277777","6' 0""","190","R","R","Mississippi State",,"35+",,,,
"COL-P-11",,"195/NYY","Hayden Wesneski","RHP","21.5083333","6' 3""","215","R","R","Sam Houston State",,"35+",,,,
"COL-P-12",,"349/KCR","Adam Lukas","RHP","20.8555555","6' 4""","210","R","R","Evansville",,"35+",,,,
"COL-P-13",,"225/NYY","Nick Paciorek","RHP","21.0194444","6' 2""","195","R","R","Northwestern",,"35+",,,,
"COL-P-14",,"247/ATL","Ricky DeVito","RHP","20.7972222","6' 2""","166","S","R","Seton Hall",,"35+",,,,
"COL-P-15",,"174/CIN","Graham Ashcraft","RHP","21.325","6' 2""","218","L","R","UAB",,"35+",,,,
"COL-P-16",,"811/LAA","Kenyon Yovan","RHP","21.4722222","6' 1""","215","R","R","Oregon",,"35+",,,,
"COL-P-17",,"202/DET","Zack Hess","RHP","22.2861111","6' 6""","216","R","R","LSU",,"35+",,,,
"COL-P-18",,"86/TEX","Justin Slaten","RHP","21.7305555","6' 4""","197","R","R","New Mexico",,"35+",,,,
"COL-P-19",,"582/CHC","Adam Laskey","LHP","21.2472222","6' 3""","205","R","L","Duke",,"35+",,,,
"COL-P-20",,"159/COL","Will Ethridge","RHP","21.4666666","6' 5""","220","R","R","Ole Miss",,"35+",,,,
"COL-P-21",,"197/BOS","Chris Murphy","LHP","21.0083333","6' 1""","175","L","L","San Diego",,"35+",,,,
"COL-P-22",,"165/NYY","Ken Waldichuk","LHP","21.4166666","6' 4""","220","L","L","St. Mary's",,"35+",,,,
"COL-P-23",,"1009/KCR","Justin Fall","LHP","19.9916666","6' 6""","235","L","L","Brookdale JC NJ","Arizona State","35+",,,,
"COL-P-24",,"173/SDP","Drake Fellows","RHP","21.2555555","6' 5""","205","L","R","Vanderbilt",,"35+",,,,
"COL-P-25",,"284/OAK","Colin Peluse","RHP","20.9916666","6' 3""","230","R","R","Wake Forest",,"35+",,,,
