Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"115",,"BOS/89","Blaze Jordan","1B","17.4638888","6' 1""","215","R","R","DeSoto Central HS MS","Mississippi State","40",,,"XXHtegB3BCA",
"116",,,"Kyle Teel","C","18.3083333","6' 0""","180","L","R","Mahwah HS NJ","Virginia","40",,,,
"117",,"DET/132","Colt Keith","SS/RHP","18.8111111","6' 3""","200","L","R","Biloxi HS MS","Arizona State","40",,,,
"118",,,"Mason Erla","RHP","22.7972222","6' 4""","215","R","R","Michigan St",,"40",,,,
"119",,"DET/73","Trei Cruz","SS","21.9194444","6' 2""","200","S","R","Rice",,"40",,,,
"120",,,"Dylan Campbell","SS","17.9277777","5' 10""","190","R","R","Strake Jesuit HS TX","Texas","40",,,,
"121",,,"Rece Ritchey","LHP","18.2166666","6' 4""","170","L","L","Huntingdon Area HS PA","Virginia","40",,,,
"122",,,"Charez Butcher","RHP","18.5861111","6' 3""","205","R","R","IMG Academy HS FL","Tennessee","40",,,,
"123",,"CIN/65","Jackson Miller","C","18.425","6' 0""","195","L","R","Mitchell HS FL","Wake Forest","40",,,,
"124",,"ARI/90","Liam Norris","LHP","18.8138888","6' 4""","205","L","L","Green Hope HS NC","North Carolina","40",,,,
"125",,"LAA/111","Werner Blakely","SS","18.2916666","6' 3""","180","L","R","Southfield HS MI","Auburn","40",,,,
"126",,"NYM/69","Isaiah Greene","CF","18.7694444","6' 1""","180","L","L","Corona HS CA","Missouri","40",,,,
"127",,"DET/133","Carter Baumler","RHP/3B","18.35","6' 2""","195","R","R","Dowling Catholic HS IA","TCU","40",,,,
"128",,,"Caden Grice","LHP/1B","17.975","6' 5""","220","L","L","Riverside HS SC","Clemson","40",,,,
"129",,,"Casey Opitz","C","21.85","5' 11""","175","S","R","Arkansas",,"40",,,,
"130",,,"Trenton Denholm","RHP","20.5333333","5' 11""","190","R","R","UC Irvine",,"40",,,,
"131",,,"Cole Fontenelle","1B","18.2388888","6' 3""","190","S","R","Skyline HS WA","Washington","40",,,,
"132",,"TOR/106","Nick Frasso","RHP","21.6333333","6' 5""","190","R","R","Loyola Marymount",,"40",,,,
"133",,"CLE/124","Milan Tolentino","SS","18.5527777","6' 1""","180","L","R","Santa Margarita Catholic HS CA","UCLA","40",,,,
"134",,"ATL/156","Bryce Elder","RHP","21.0472222","6' 2""","220","R","R","Texas",,"40",,,,
"135",,"KCR/41","Ben Hernandez","RHP","18.9305555","6' 2""","205","R","R","De La Salle HS IL","Illinois-Chicago","40",,,,
"136",,,"Tommy Troy","SS","18.3861111","5' 10""","185","R","R","Los Gatos HS CA","Stanford","40",,,,
"137",,,"Victor Mederos","RHP","18.9944444","6' 3""","210","R","R","Westminster Christian HS FL","Miami","40",,,,
"138",,,"Magdiel Cotto","LHP","17.95","6' 4""","230","L","L","Nation Ford HS SC","South Carolina","40",,,,
"139",,,"Kevin Abel","RHP","21.2972222","6' 2""","195","R","R","Oregon State",,"40",,,,
"140",,,"Michael Kirian","LHP","21.3472222","6' 6""","235","R","L","Louisville",,"40",,,,
"141",,,"Devin Fontenot","RHP","21.675","6' 1""","172","R","R","LSU",,"40",,,,
"142",,"OAK/58","Jeff Criswell","RHP","21.2388888","6' 3""","210","R","R","Michigan",,"40",,,,
"143",,,"Elijah Cabell","RF","20.9333333","6' 2""","190","R","R","Florida State",,"40",,,,
"144",,,"Johnny Cuevas","RHP","20.5444444","6' 3""","200","R","R","Southern Nevada JC",,"40",,,,
"145",,,"Gavin Williams","RHP","20.8611111","6' 6""","227","L","R","East Carolina",,"40",,,,
"146",,,"Ricky Tiedemann","LHP","17.8","6' 3""","192","L","L","Lakewood HS CA","San Diego State","35+",,,,
"147",,,"Mario Zabala","CF","18.0777777","6' 2""","195","R","R","Int'l Baseball Academy HS PR","Florida International","35+",,,,
"148",,,"Gabe Shepard","RHP","21.1944444","5' 10""","180","R","R","Southern Mississippi",,"35+",,,,
"149",,"CHC/117","Luke Little","LHP","19.7666666","6' 8""","225","L","L","San Jacinto JC TX","South Carolina","35+",,,,
"150",,,"Nate Wohlgemuth","RHP","19.0166666","5' 11""","195","R","R","Owasso HS OK","Arkansas","35+",,,,
"151",,,"Kevin Sim","RF","18.3305555","6' 2""","205","R","R","Torrey Pines HS CA","San Diego","35+",,,,
"152",,"CIN/113","MacKenzie Wainwright","RF","17.8333333","6' 1""","215","R","R","St. Edward HS (OH) OH","Ohio State","35+",,,,
"153",,,"Max Carlson","RHP","18.7305555","6' 1""","175","R","R","Burnsville HS MN","North Carolina","35+",,,,
"154",,,"T.J. McCants","SS","19","6' 3""","180","L","R","Pensacola Catholic HS FL","Ole Miss","35+",,,,
"155",,,"Mac Horvath","SS/RHP","18.8722222","6' 1""","175","R","R","IMG Academy HS FL","North Carolina","35+",,,,
"156",,,"Colby Halter","SS","18.7833333","6' 1""","200","L","R","Bishop Kenny HS FL","Florida","35+",,,,
"157",,,"Cayden Wallace","3B","18.8305555","6' 1""","205","R","R","Greenbrier HS AR","Arkansas","35+",,,,
"158",,,"D'Andre Smith","SS","19.0722222","5' 8""","170","R","R","Sam Dimas HS CA","USC","35+",,,,
"159",,"TOR/77","Trent Palmer","RHP","21.175","6' 1""","230","R","R","Jacksonville",,"35+",,,,
"160",,,"Alex Freeland","SS","18.7833333","6' 2""","180","S","R","Mariner HS FL","UCF","35+",,,,
"161",,,"Dominic Johnson","CF","19.2472222","5' 10""","170","R","R","Santa Fe HS OK","Oklahoma State","35+",,,,
"162",,,"Slade Wilks","RF","19.05","6' 2""","215","L","R","Columbia Academy HS MS","Southern Mississippi","35+",,,,
"163",,,"Nolan McLean","RHP/3B","18.8666666","6' 3""","220","R","R","Garner HS NC","Oklahoma State","35+",,,,
"164",,,"Steven Ondina","SS","18.0166666","5' 8""","156","R","R","Int'l BB Academy HS PR","Florida International","35+",,,,
"165",,"BOS/17","Nick Yorke","SS","18.1777777","6' 0""","195","R","R","Archbishop Mitty HS CA","Arizona","35+",,,,
"166",,,"Nate Clow","CF","18.7277777","6' 0""","180","L","R","Beamer HS WA","USC","35+",,,,
"167",,,"Cole Foster","SS","18.6611111","6' 0""","185","S","R","Plano HS TX","TCU","35+",,,,
"168",,"ARI/119","A.J. Vukovich","1B","18.8777777","6' 4""","210","R","R","East Troy HS WI","Louisville","35+",,,,
"169",,,"Travis Sthele","RHP","18.7083333","6' 0""","195","R","R","Reagan HS TX","Texas","35+",,,,
"170",,"SDP/45","Owen Caissie","OF","17.9111111","6' 3""","190","L","R","Notre Dame Catholic HS ON","Michigan","35+",,,,
"171",,,"Daniel Susac","C","19.0611111","6' 3""","215","S","R","Jesuit HS CA","Arizona","35+",,,,
"172",,"CHW/142","Bailey Horn","LHP","22.3916666","6' 2""","217","L","L","Auburn",,"35+",,"Agent thinks 3rd, possible deal in 2nd comp around pick 70","Texas prepster went to McLennan JC in Texas then t",
"173",,"WSH/71","Samuel Infante","3B","18.9555555","6' 1""","175","R","R","Monsignor Pace HS FL","Miami","35+",,,,
"174",,,"Timmy Manning","LHP","18.7388888","6' 2""","177","L","L","Cardinal Gibbons HS FL","Florida","35+",,,,
"175",,,"Lukas Cook","3B","19.0444444","6' 3""","205","R","R","Hardin Valley HS TN","South Carolina","35+",,,,
"176",,,"Cooper Ingle","C","18.2861111","5' 10""","170","L","R","A.C. Reynolds HS NC","Clemson","35+",,,,
"177",,,"Chad Born","CF","18.7388888","6' 1""","175","R","R","Orange Lutheran HS CA","Miami","35+",,,,
"178",,,"Alex Boychuk","C","18.3527777","6' 0""","205","R","R","Mill Creek HS GA","South Carolina","35+",,,,
"179",,,"Jack Moss","1B","18.6","6' 5""","200","L","R","Cherry Creek HS CO","Arizona State","35+",,,,
"180",,,"Jalen Vasquez","SS","18.3833333","5' 11""","155","L","R","Fort Dorchester HS SC","South Carolina","35+",,,,
"181",,,"Kala'i Rosario","LF","17.9277777","6' 1""","200","R","R","Waiakea HS HI","Cal Baptist","35+",,,,
"182",,,"Josh Ekness","RHP","18.3","6' 3""","200","R","R","The Woodlands HS TX","Lamar University","35+",,,,
"183",,"BOS/118","Jeremy Wu-Yelland","LHP","20.95","6' 2""","205","L","L","Hawaii",,"35+",,,,
"184",,,"T.J. Nichols","RHP","17.95","6' 3""","170","R","R","Oakmont HS CA","Arizona","35+",,,,
"185",,,"Jason Savacool","RHP","18.0416666","6' 1""","200","R","R","Baker HS NY","Maryland","35+",,,,
"186",,"CIN/143","Joe Boyle","RHP","20.8111111","6' 7""","220","R","R","Notre Dame",,"35+",,,,
"187",,,"Theo Millas","RHP","18.4027777","6' 4""","200","R","R","Ecole Alpha HS CAN","LSU","35+",,,,
"188",,,"Kenyon Yovan","3B","22.4666666","6' 1""","215","R","R","Oregon",,"35+",,,,
"189",,,"Brady Smith","C","21.55","5' 11""","195","R","R","Florida",,"35+",,,,
"190",,,"Raymond Gil","3B","21.3972222","6' 0""","210","R","R","Miami",,"35+",,,,
"191",,"CHC/88","Jordan Nwogu","CF","21.2388888","6' 3""","235","R","R","Michigan",,"35+",,,,
"192",,,"Tim Tawa","CF","21.1638888","6' 0""","180","R","R","Stanford",,"35+",,,,
"193",,"MIN/59","Alerick Soularie","LF","20.9194444","5' 11""","185","R","R","Tennessee",,"35+",,,,
"194",,,"Jacob Young","2B","20.8583333","6' 0""","175","R","R","Florida",,"35+",,,,
"195",,,"Shane McGuire","C","21.15","6' 0""","195","L","R","San Diego",,"35+",,,,
"196",,"ATL/97","Jesse Franklin","CF","21.5138888","6' 1""","215","L","L","Michigan",,"35+",,,,
"197",,"SFG/68","Jimmy Glowenke","SS","21.0027777","5' 10""","175","R","R","Dallas Baptist",,"35+",,,,
"198",,,"Andre Tarver","LF","19.9305555","6' 2""","210","L","L","Chipola JC FL","None","35+",,,,
"199",,,"Dalton Fowler","LHP","20.4138888","6' 5""","190","L","L","Northwest Mississippi JC MS","Oklahoma","35+",,,,
"200",,"OAK/157","Stephen Emanuels","RHP","21.35","6' 5""","215","R","R","Washington",,"35+",,,,
"201",,"KCR/135","Will Klein","RHP","20.5194444","6' 5""","225","R","R","Eastern Illinois",,"35+",,,,
"202",,"BOS/148","Shane Drohan","LHP","21.4138888","6' 3""","200","R","L","Florida State",,"35+",,,,
"203",,,"Brendan Beck","RHP","21.6666666","6' 2""","200","R","R","Stanford",,"35+",,,,
"204",,,"Christian Scott","RHP","20.975","6' 4""","195","R","R","Florida",,"35+",,,,
"205",,,"Reese Albert","RF","20.9055555","6' 2""","197","L","L","Florida State",,"35+",,,,
"206",,,"Cody Greenhill","RHP","21.7083333","6' 4""","216","R","R","Auburn",,"35+",,,,
"207",,"CIN/84","Bryce Bonnin","RHP","21.6527777","6' 1""","190","R","R","Texas Tech",,"35+",,,,
"208",,,"Jermaine Vanheyningen","RHP","21.5444444","6' 6""","236","R","R","Florence Darlington Tech JC SC","None","35+",,,,
"209",,"PHI/146","Baron Radcliff","1B","21.325","6' 4""","220","L","R","Georgia Tech",,"35+",,,,
"210",,,"Riley Tirotta","3B","21.7916666","6' 3""","210","R","R","Dayton",,"35+",,,,
"211",,,"Adam Kerner","C","21.85","5' 10""","185","R","R","San Diego",,"35+",,,,
"212",,,"Tanner Bibbee","RHP","21.2527777","6' 2""","190","R","R","Fullerton",,"35+",,,,
"213",,,"Cooper Davis","CF","21.0805555","5' 10""","185","L","R","Vanderbilt",,"35+",,,,
"214",,,"Brant Hurter","LHP","21.75","6' 6""","240","L","L","Georgia Tech",,"35+",,,,
"215",,,"Blake Dunn","CF","21.7527777","6' 0""","205","R","R","Western Michigan",,"35+",,,,
"216",,,"Matheu Nelson","C","21.4305555","5' 11""","195","R","R","Florida State",,"35+",,,,
"217",,,"Tanner Allen","LF","22.0027777","5' 11""","185","R","L","Mississippi State",,"35+",,,,
"218",,,"Jacob Palisch","LHP","21.7972222","6' 5""","205","L","L","Stanford",,"35+",,,,
"219",,,"Chandler Champlain","RHP","20.8694444","6' 5""","215","R","R","USC",,"35+",,,,
"220",,,"C.J. Smith","LHP","21.7777777","6' 1""","191","L","L","Georgia",,"35+",,,,
"221",,,"Bo Hofstra","RHP","21.8527777","6' 5""","235","R","R","Purdue",,"35+",,,,
"222",,,"Tyler Brown","RHP","21.6777777","6' 4""","242","R","R","Vanderbilt",,"35+",,,,
"223",,,"Max Alba","RHP","20.8916666","6' 5""","190","L","R","North Carolina",,"35+",,,,
"224",,,"Storm Hierholzer","RHP","18.7861111","6' 2""","200","R","R","Lake Travis HS TX","TCU","35+",,,,
"225",,,"D.J. Carpenter","RHP","20.3277777","6' 8""","210","R","R","Central Arizona JC",,"35+",,,,
"226",,,"Chase Silseth","RHP","20.05","6' 0""","200","R","R","Southern Nevada JC NC","Arizona","35+",,,,
"227",,,"Jackson Wolf","LHP","21.1222222","6' 7""","205","L","L","West Virginia",,"35+",,,,
"228",,,"Max Rajcic","RHP","18.8416666","5' 11""","200","R","L","Orange Lutheran HS CA","UCLA","35+",,,,
"229",,,"Roberto Moya","LF","18.7805555","6' 0""","200","R","R","Monsignor Pace HS FL","Tallahassee JC (FL)","35+",,,,
"230",,,"Ty Floyd","RHP","18.7722222","6' 2""","180","R","R","Rockmart HS GA","LSU","35+",,,,
"231",,"COL/112","Case Williams","RHP","18.3055555","6' 3""","210","R","R","Douglas County HS CO","Santa Clara","35+",,,,
"232",,"MIN/128","Marco Raya","RHP","17.8305555","6' 0""","160","R","R","United South HS TX","Texas Tech","35+",,,,
"214",,"CHC/147","Koen Moreno","RHP","18.8472222","6' 2""","165","R","R","Panther Creek HS NC","East Carolina","35+",,,,
"HS-P-1",,,"Ronan Kopp","LHP","17.8555555","6' 5""","200","L","L","Scottsdale Christian HS AZ","Arizona State","35",,,,
"HS-P-2",,,"Grayson Moore","CF/RHP","18.9083333","6' 2""","180","S","R","Lake Mary HS FL","Vanderbilt","35",,,,
"HS-H-1",,,"Tre Hondras","CF","18.6222222","6' 0""","185","R","R","Homewood Flossmoor HS IL","Michigan","35",,,,
"COL-P-1",,,"Cole Kmet","LHP","21.2388888","6' 5""","256","R","L","Notre Dame",,"35",,,,
"COL-P-2",,"MIA/104","Jake Eder","LHP","21.825","6' 4""","210","L","L","Vanderbilt",,"35",,,,
"COL-P-3",,,"Carson Ragsdale","RHP","22.0305555","6' 8""","225","R","R","USF",,"35",,,,
"COL-P-4",,,"Andrew Abbott","LHP","21.0138888","6' 0""","175","L","L","Virginia",,"35",,,,
"COL-P-5",,,"Jack Neely","RHP","20.0027777","6' 9""","230","R","R","Iowa Western JC IA","Ohio State","35",,,,
"COL-P-6",,"ATL/126","Spencer Strider","RHP","21.6055555","5' 11""","210","R","R","Clemson",,"35",,,,
"COL-P-7",,"OAK/127","Dane Acker","RHP","21.1805555","6' 2""","190","R","R","Oklahoma",,"35",,,,
"COL-P-8",,"MIA/134","Kyle Hurt","RHP","22.0166666","6' 3""","215","R","R","USC",,"35",,,,
"COL-P-9",,,"Mitchell Parker","LHP","20.6916666","6' 4""","195","L","L","San Jacinto JC TX","Kentucky","35",,,,
"COL-H-2",,,"Ben Anderson","RF","21.7916666","6' 1""","171","L","L","Georgia",,"35",,,,
"COL-H-3",,,"**Jason Bush","C","23.35","6' 2""","190","L","R","New Mexico St",,"35",,,,
"COL-H-4",,,"**Mack Mueller","OF","22.5","6' 3""","225","R","L","Baylor",,"35",,,,
"COL-H-5",,,"**Joe Butler","RF","22.9361111","6' 3""","195","R","R","Illinois State",,"35",,,,
"COL-H-6",,,"Justin Collins","C","21.4222222","6' 2""","200","R","R","Rice",,"35",,,,
"COL-H-7",,,"**Zarion Sharpe","LHP","21.6833333","6' 5""","210","R","L","UNC Wilmington",,"35",,,,
"COL-H-8",,,"**Jonathan Hughes","RHP","23.4111111","6' 3""","200","R","R","Georgia Tech",,"35",,,,
"COL-H-9",,,"**John McMillon","RHP","22.3583333","6' 3""","235","L","R","Texas Tech",,"35",,,,
"COL-H-10",,,"**Charles King","RHP","22.4166666","6' 5""","215","R","R","TCU",,"35",,,,
"COL-H-11",,,"**Nick Trogrlic-Iverson","RHP","22.675","6' 1""","171","R","R","Gonzaga",,"35",,,,
"COL-H-12",,,"**Carson McCusker","RF","22.0388888","6' 8""","235","R","R","Oklahoma State",,"35",,,,
"COL-H-13",,,"**Austin Langworthy","RF","22.7444444","5' 11""","200","L","L","Florida",,"35",,,,
"COL-H-14",,,"**Conner Pohl","3B","22.0944444","6' 5""","225","L","R","Ohio State",,"35",,,,
"COL-H-15",,,"**Cam Shepherd","SS","22.6888888","6' 1""","180","R","R","Georgia",,"35",,,,
"COL-H-16",,,"**Max Troiani","CF","21.775","6' 1""","215","R","R","Bentley",,"35",,,,
"COL-H-17",,,"**Bradlee Beesley","2B","22.2916666","5' 10""","175","R","R","Cal Poly",,"35",,,,
"COL-H-18",,"NYM/120","**Matt Dyer","C","21.8944444","6' 4""","175","R","R","Arizona",,"35",,,,
"COL-H-18",,,"Jason Hodges","LF","18.9444444","6' 3""","210","R","R","John Logan JC IL","None","35",,,,
"COL-H-19",,,"Nander De Sedas","SS","20.8638888","6' 1""","190","S","R","Florida State",,"35",,,,
"COL-H-20",,"TBR/125","Tanner Murray","SS","20.7583333","6' 2""","170","R","R","UC Davis",,"35",,,,
"COL-H-21",,"HOU/131","Zach Daniels","RF","21.3694444","6' 1""","190","R","R","Tennessee",,"35",,,,
"COL-H-22",,"TOR/136","Zack Britton","LF","21.7416666","6' 1""","200","L","R","Louisville",,"35",,,,
